%
% Copyright (c) 1997-2009 Nokia Corporation and/or its subsidiary(-ies).
% All rights reserved.
% This component and the accompanying materials are made available
% under the terms of "Eclipse Public License v1.0"
% which accompanies this distribution, and is available
% at the URL "http://www.eclipse.org/legal/epl-v10.html".
%
% Initial Contributors:
% Nokia Corporation - initial contribution.
%
% Contributors:
%
% Description: 
963F ; [.4e01.0000.0007.963F] % °¢
822D ; [.4eda.0000.0007.822D] % ô°
9119 ; [.4edb.0000.0007.9119] % ±É
5E01 ; [.4edc.0000.0007.5E01] % ±Ò
5FC5 ; [.4edd.0000.0007.5FC5] % ±Ø
6BD5 ; [.4ede.0000.0007.6BD5] % ±Ï
95ED ; [.4edf.0000.0007.95ED] % ±Õ
5E87 ; [.4ee0.0000.0007.5E87] % ±Ó
7540 ; [.4ee1.0000.0007.7540] % î¯
54D4 ; [.4ee2.0000.0007.54D4] % ßÙ
6BD6 ; [.4ee3.0000.0007.6BD6] % ±Ñ
835C ; [.4ee4.0000.0007.835C] % Üê
965B ; [.4ee5.0000.0007.965B] % ±Ý
6BD9 ; [.4ee6.0000.0007.6BD9] % ±Ð
72F4 ; [.4ee7.0000.0007.72F4] % áù
94CB ; [.4ee8.0000.0007.94CB] % îé
5A62 ; [.4ee9.0000.0007.5A62] % æ¾
655D ; [.4eea.0000.0007.655D] % ±Ö
8406 ; [.4eeb.0000.0007.8406] % ÝÉ
5F3C ; [.4eec.0000.0007.5F3C] % åö
610E ; [.4eed.0000.0007.610E] % ã¹
7B5A ; [.4eee.0000.0007.7B5A] % óÙ
6ED7 ; [.4eef.0000.0007.6ED7] % ää
75F9 ; [.4ef0.0000.0007.75F9] % ±Ô
84D6 ; [.4ef1.0000.0007.84D6] % ±Í
88E8 ; [.4ef2.0000.0007.88E8] % ñÔ
8DF8 ; [.4ef3.0000.0007.8DF8] % õÏ
5F0A ; [.4ef4.0000.0007.5F0A] % ±×
78A7 ; [.4ef5.0000.0007.78A7] % ±Ì
7B85 ; [.4ef6.0000.0007.7B85] % óë
853D ; [.4ef7.0000.0007.853D] % ±Î
58C1 ; [.4ef8.0000.0007.58C1] % ±Ú
5B16 ; [.4ef9.0000.0007.5B16] % æÔ
7BE6 ; [.4efa.0000.0007.7BE6] % ó÷
859C ; [.4efb.0000.0007.859C] % Þµ
907F ; [.4efc.0000.0007.907F] % ±Ü
6FDE ; [.4efd.0000.0007.6FDE] % å¨
81C2 ; [.4efe.0000.0007.81C2] % ±Û
9AC0 ; [.4eff.0000.0007.9AC0] % ÷Â
74A7 ; [.4f00.0000.0007.74A7] % èµ
895E ; [.4f01.0000.0007.895E] % ôÅ
7765 ; [.4f02.0000.0007.7765] % î¢
8FB9 ; [.4f03.0000.0007.8FB9] % ±ß
782D ; [.4f04.0000.0007.782D] % í¾
7B3E ; [.4f05.0000.0007.7B3E] % óÖ
7F16 ; [.4f06.0000.0007.7F16] % ±à
7178 ; [.4f07.0000.0007.7178] % ìÔ
8759 ; [.4f08.0000.0007.8759] % òù
9CCA ; [.4f09.0000.0007.9CCA] % öý
97AD ; [.4f0a.0000.0007.97AD] % ±Þ
8D2C ; [.4f0b.0000.0007.8D2C] % ±á
6241 ; [.4f0c.0000.0007.6241] % ±â
7A86 ; [.4f0d.0000.0007.7A86] % ñ¹
533E ; [.4f0e.0000.0007.533E] % ØÒ
78A5 ; [.4f0f.0000.0007.78A5] % íÜ
890A ; [.4f10.0000.0007.890A] % ñÛ
535E ; [.4f11.0000.0007.535E] % ±å
5F01 ; [.4f12.0000.0007.5F01] % ÛÍ
5FED ; [.4f13.0000.0007.5FED] % âí
6C74 ; [.4f14.0000.0007.6C74] % ãê
82C4 ; [.4f15.0000.0007.82C4] % ÜÐ
4FBF ; [.4f16.0000.0007.4FBF] % ±ã
53D8 ; [.4f17.0000.0007.53D8] % ±ä
7F0F ; [.4f18.0000.0007.7F0F] % çÂ
904D ; [.4f19.0000.0007.904D] % ±é
8FA8 ; [.4f1a.0000.0007.8FA8] % ±æ
8FA9 ; [.4f1b.0000.0007.8FA9] % ±ç
8FAB ; [.4f1c.0000.0007.8FAB] % ±è
5F6A ; [.4f1d.0000.0007.5F6A] % ±ë
6807 ; [.4f1e.0000.0007.6807] % ±ê
98D1 ; [.4f1f.0000.0007.98D1] % ì©
9ADF ; [.4f20.0000.0007.9ADF] % ÷Ô
9AA0 ; [.4f21.0000.0007.9AA0] % æô
8198 ; [.4f22.0000.0007.8198] % ±ì
762D ; [.4f23.0000.0007.762D] % ñ¦
9556 ; [.4f24.0000.0007.9556] % ïÚ
98D9 ; [.4f25.0000.0007.98D9] % ì­
98DA ; [.4f26.0000.0007.98DA] % ì®
9573 ; [.4f27.0000.0007.9573] % ïð
8868 ; [.4f28.0000.0007.8868] % ±í
5A4A ; [.4f29.0000.0007.5A4A] % æ»
88F1 ; [.4f2a.0000.0007.88F1] % ñÑ
9CD4 ; [.4f2b.0000.0007.9CD4] % ÷§
618B ; [.4f2c.0000.0007.618B] % ±ï
9CD6 ; [.4f2d.0000.0007.9CD6] % ±î
762A ; [.4f2e.0000.0007.762A] % ±ñ
522B ; [.4f2f.0000.0007.522B] % ±ð
8E69 ; [.4f30.0000.0007.8E69] % õ¿
5BBE ; [.4f31.0000.0007.5BBE] % ±ö
5F6C ; [.4f32.0000.0007.5F6C] % ±ò
50A7 ; [.4f33.0000.0007.50A7] % ÙÏ
658C ; [.4f34.0000.0007.658C] % ±ó
6EE8 ; [.4f35.0000.0007.6EE8] % ±õ
7F24 ; [.4f36.0000.0007.7F24] % çÍ
69DF ; [.4f37.0000.0007.69DF] % éÄ
9554 ; [.4f38.0000.0007.9554] % ïÙ
6FD2 ; [.4f39.0000.0007.6FD2] % ±ô
8C73 ; [.4f3a.0000.0007.8C73] % áÙ
73A2 ; [.4f3b.0000.0007.73A2] % çã
6448 ; [.4f3c.0000.0007.6448] % ±÷
6BA1 ; [.4f3d.0000.0007.6BA1] % éë
8191 ; [.4f3e.0000.0007.8191] % ë÷
9ACC ; [.4f3f.0000.0007.9ACC] % ÷Æ
9B13 ; [.4f40.0000.0007.9B13] % ÷Þ
51AB ; [.4f41.0000.0007.51AB] % Ùû
51B0 ; [.4f42.0000.0007.51B0] % ±ù
5175 ; [.4f43.0000.0007.5175] % ±ø
4E19 ; [.4f44.0000.0007.4E19] % ±û
90B4 ; [.4f45.0000.0007.90B4] % Úû
79C9 ; [.4f46.0000.0007.79C9] % ±ü
67C4 ; [.4f47.0000.0007.67C4] % ±ú
70B3 ; [.4f48.0000.0007.70B3] % ±þ
997C ; [.4f49.0000.0007.997C] % ±ý
7980 ; [.4f4a.0000.0007.7980] % Ù÷
5E76 ; [.4f4b.0000.0007.5E76] % ²¢
75C5 ; [.4f4c.0000.0007.75C5] % ²¡
6452 ; [.4f4d.0000.0007.6452] % Þð
62E8 ; [.4f4e.0000.0007.62E8] % ²¦
6CE2 ; [.4f4f.0000.0007.6CE2] % ²¨
73BB ; [.4f50.0000.0007.73BB] % ²£
5265 ; [.4f51.0000.0007.5265] % °þ
94B5 ; [.4f52.0000.0007.94B5] % ²§
997D ; [.4f53.0000.0007.997D] % âÄ
83E0 ; [.4f54.0000.0007.83E0] % ²¤
64AD ; [.4f55.0000.0007.64AD] % ²¥
8116 ; [.4f56.0000.0007.8116] % ²±
4F2F ; [.4f57.0000.0007.4F2F] % ²®
9A73 ; [.4f58.0000.0007.9A73] % ²µ
5E1B ; [.4f59.0000.0007.5E1B] % ²¯
6CCA ; [.4f5a.0000.0007.6CCA] % ²´
52C3 ; [.4f5b.0000.0007.52C3] % ²ª
4EB3 ; [.4f5c.0000.0007.4EB3] % Ùñ
94B9 ; [.4f5d.0000.0007.94B9] % îà
94C2 ; [.4f5e.0000.0007.94C2] % ²¬
8236 ; [.4f5f.0000.0007.8236] % ²°
535A ; [.4f60.0000.0007.535A] % ²©
6E24 ; [.4f61.0000.0007.6E24] % ²³
9E41 ; [.4f62.0000.0007.9E41] % ð¾
640F ; [.4f63.0000.0007.640F] % ²«
7B94 ; [.4f64.0000.0007.7B94] % ²­
818A ; [.4f65.0000.0007.818A] % ²²
8E23 ; [.4f66.0000.0007.8E23] % õÛ
8584 ; [.4f67.0000.0007.8584] % ±¡
7934 ; [.4f68.0000.0007.7934] % íç
8DDB ; [.4f69.0000.0007.8DDB] % õË
7C38 ; [.4f6a.0000.0007.7C38] % ô¤
64D8 ; [.4f6b.0000.0007.64D8] % ë¢
6A97 ; [.4f6c.0000.0007.6A97] % éÞ
5575 ; [.4f6d.0000.0007.5575] % à£
900B ; [.4f6e.0000.0007.900B] % åÍ
94B8 ; [.4f6f.0000.0007.94B8] % îß
6661 ; [.4f70.0000.0007.6661] % êÎ
91AD ; [.4f71.0000.0007.91AD] % õ³
535C ; [.4f72.0000.0007.535C] % ²·
535F ; [.4f73.0000.0007.535F] % ß²
8865 ; [.4f74.0000.0007.8865] % ²¹
54FA ; [.4f75.0000.0007.54FA] % ²¸
6355 ; [.4f76.0000.0007.6355] % ²¶
4E0D ; [.4f77.0000.0007.4E0D] % ²»
5E03 ; [.4f78.0000.0007.5E03] % ²¼
6B65 ; [.4f79.0000.0007.6B65] % ²½
6016 ; [.4f7a.0000.0007.6016] % ²À
949A ; [.4f7b.0000.0007.949A] % îÐ
90E8 ; [.4f7c.0000.0007.90E8] % ²¿
57E0 ; [.4f7d.0000.0007.57E0] % ²º
74FF ; [.4f7e.0000.0007.74FF] % ê³
7C3F ; [.4f7f.0000.0007.7C3F] % ²¾
5693 ; [.4f80.0000.0007.5693] % àê
64E6 ; [.4f81.0000.0007.64E6] % ²Á
7924 ; [.4f82.0000.0007.7924] % íå
731C ; [.4f83.0000.0007.731C] % ²Â
624D ; [.4f84.0000.0007.624D] % ²Å
6750 ; [.4f85.0000.0007.6750] % ²Ä
8D22 ; [.4f86.0000.0007.8D22] % ²Æ
88C1 ; [.4f87.0000.0007.88C1] % ²Ã
91C7 ; [.4f88.0000.0007.91C7] % ²É
5F69 ; [.4f89.0000.0007.5F69] % ²Ê
776C ; [.4f8a.0000.0007.776C] % ²Ç
8E29 ; [.4f8b.0000.0007.8E29] % ²È
83DC ; [.4f8c.0000.0007.83DC] % ²Ë
8521 ; [.4f8d.0000.0007.8521] % ²Ì
53C2 ; [.4f8e.0000.0007.53C2] % ²Î
9A96 ; [.4f8f.0000.0007.9A96] % æî
9910 ; [.4f90.0000.0007.9910] % ²Í
6B8B ; [.4f91.0000.0007.6B8B] % ²Ð
8695 ; [.4f92.0000.0007.8695] % ²Ï
60ED ; [.4f93.0000.0007.60ED] % ²Ñ
60E8 ; [.4f94.0000.0007.60E8] % ²Ò
9EEA ; [.4f95.0000.0007.9EEA] % ÷õ
707F ; [.4f96.0000.0007.707F] % ²Ó
7CB2 ; [.4f97.0000.0007.7CB2] % ôÓ
74A8 ; [.4f98.0000.0007.74A8] % è²
4ED3 ; [.4f99.0000.0007.4ED3] % ²Ö
4F27 ; [.4f9a.0000.0007.4F27] % Ø÷
6CA7 ; [.4f9b.0000.0007.6CA7] % ²×
82CD ; [.4f9c.0000.0007.82CD] % ²Ô
8231 ; [.4f9d.0000.0007.8231] % ²Õ
85CF ; [.4f9e.0000.0007.85CF] % ²Ø
64CD ; [.4f9f.0000.0007.64CD] % ²Ù
7CD9 ; [.4fa0.0000.0007.7CD9] % ²Ú
66F9 ; [.4fa1.0000.0007.66F9] % ²Ü
5608 ; [.4fa2.0000.0007.5608] % àÐ
6F15 ; [.4fa3.0000.0007.6F15] % äî
69FD ; [.4fa4.0000.0007.69FD] % ²Û
825A ; [.4fa5.0000.0007.825A] % ô½
87AC ; [.4fa6.0000.0007.87AC] % ó©
8349 ; [.4fa7.0000.0007.8349] % ²Ý
518C ; [.4fa8.0000.0007.518C] % ²á
4FA7 ; [.4fa9.0000.0007.4FA7] % ²à
5395 ; [.4faa.0000.0007.5395] % ²Þ
607B ; [.4fab.0000.0007.607B] % âü
6D4B ; [.4fac.0000.0007.6D4B] % ²â
7B56 ; [.4fad.0000.0007.7B56] % ²ß
5C91 ; [.4fae.0000.0007.5C91] % á¯
6D94 ; [.4faf.0000.0007.6D94] % ä¹
564C ; [.4fb0.0000.0007.564C] % àá
5C42 ; [.4fb1.0000.0007.5C42] % ²ã
8E6D ; [.4fb2.0000.0007.8E6D] % ²ä
53C9 ; [.4fb3.0000.0007.53C9] % ²æ
6748 ; [.4fb4.0000.0007.6748] % è¾
63D2 ; [.4fb5.0000.0007.63D2] % ²å
9987 ; [.4fb6.0000.0007.9987] % âÇ
9538 ; [.4fb7.0000.0007.9538] % ïÊ
67E5 ; [.4fb8.0000.0007.67E5] % ²é
832C ; [.4fb9.0000.0007.832C] % ²ç
8336 ; [.4fba.0000.0007.8336] % ²è
643D ; [.4fbb.0000.0007.643D] % ²ë
7339 ; [.4fbc.0000.0007.7339] % âª
69CE ; [.4fbd.0000.0007.69CE] % é¶
5BDF ; [.4fbe.0000.0007.5BDF] % ²ì
78B4 ; [.4fbf.0000.0007.78B4] % ²ê
6AAB ; [.4fc0.0000.0007.6AAB] % éß
9572 ; [.4fc1.0000.0007.9572] % ïï
8869 ; [.4fc2.0000.0007.8869] % ñÃ
6C4A ; [.4fc3.0000.0007.6C4A] % ãâ
5C94 ; [.4fc4.0000.0007.5C94] % ²í
8BE7 ; [.4fc5.0000.0007.8BE7] % ²ï
59F9 ; [.4fc6.0000.0007.59F9] % æ±
5DEE ; [.4fc7.0000.0007.5DEE] % ²î
62C6 ; [.4fc8.0000.0007.62C6] % ²ð
9497 ; [.4fc9.0000.0007.9497] % îÎ
640B ; [.4fca.0000.0007.640B] % Þõ
4FAA ; [.4fcb.0000.0007.4FAA] % Ù­
67F4 ; [.4fcc.0000.0007.67F4] % ²ñ
8C7A ; [.4fcd.0000.0007.8C7A] % ²ò
63E3 ; [.4fce.0000.0007.63E3] % ´§
867F ; [.4fcf.0000.0007.867F] % ò²
7625 ; [.4fd0.0000.0007.7625] % ðû
8E39 ; [.4fd1.0000.0007.8E39] % õß
81AA ; [.4fd2.0000.0007.81AA] % ëú
89C7 ; [.4fd3.0000.0007.89C7] % êè
63BA ; [.4fd4.0000.0007.63BA] % ²ô
6400 ; [.4fd5.0000.0007.6400] % ²ó
5A75 ; [.4fd6.0000.0007.5A75] % æ¿
8C17 ; [.4fd7.0000.0007.8C17] % ²÷
5B71 ; [.4fd8.0000.0007.5B71] % åî
7985 ; [.4fd9.0000.0007.7985] % ìø
998B ; [.4fda.0000.0007.998B] % ²ö
7F20 ; [.4fdb.0000.0007.7F20] % ²ø
8749 ; [.4fdc.0000.0007.8749] % ²õ
5EDB ; [.4fdd.0000.0007.5EDB] % âÜ
6F7A ; [.4fde.0000.0007.6F7A] % äý
87FE ; [.4fdf.0000.0007.87FE] % ó¸
8E94 ; [.4fe0.0000.0007.8E94] % õð
6FB6 ; [.4fe1.0000.0007.6FB6] % å¤
4EA7 ; [.4fe2.0000.0007.4EA7] % ²ú
8C04 ; [.4fe3.0000.0007.8C04] % ÚÆ
94F2 ; [.4fe4.0000.0007.94F2] % ²ù
9610 ; [.4fe5.0000.0007.9610] % ²û
8487 ; [.4fe6.0000.0007.8487] % ÝÛ
5181 ; [.4fe7.0000.0007.5181] % Ùæ
9AA3 ; [.4fe8.0000.0007.9AA3] % æö
5FCF ; [.4fe9.0000.0007.5FCF] % âã
98A4 ; [.4fea.0000.0007.98A4] % ²ü
7FBC ; [.4feb.0000.0007.7FBC] % åñ
4F25 ; [.4fec.0000.0007.4F25] % Øö
660C ; [.4fed.0000.0007.660C] % ²ý
5A3C ; [.4fee.0000.0007.5A3C] % æ½
7316 ; [.4fef.0000.0007.7316] % ²þ
83D6 ; [.4ff0.0000.0007.83D6] % ÝÅ
960A ; [.4ff1.0000.0007.960A] % ãÑ
