% compkeys-2.1.9d5.txt
% Created: 1999-Jun-06
% Posted:  1999-Jun-06
% Derived from: unidata-2.1.9d5.txt
% Sifter version: 2.8 1999-Jun-06
2.1.9d5 % version

203C ; [*021E.0020.0004.0021] [*021E.0020.0004.0021] % DOUBLE EXCLAMATION MARK; COMPATSEQ
24A3 ; [*023E.0020.0004.0028] [.0773.0020.0004.0068] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER H; COMPATSEQ
24A4 ; [*023E.0020.0004.0028] [.078D.0020.0004.0069] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER I; COMPATSEQ
24A5 ; [*023E.0020.0004.0028] [.07A1.0020.0004.006A] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER J; COMPATSEQ
24A6 ; [*023E.0020.0004.0028] [.07B1.0020.0004.006B] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER K; COMPATSEQ
24A7 ; [*023E.0020.0004.0028] [.07BD.0020.0004.006C] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER L; COMPATSEQ
24A8 ; [*023E.0020.0004.0028] [.07E5.0020.0004.006D] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER M; COMPATSEQ
24A9 ; [*023E.0020.0004.0028] [.07ED.0020.0004.006E] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER N; COMPATSEQ
24AA ; [*023E.0020.0004.0028] [.0805.0020.0004.006F] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER O; COMPATSEQ
24AB ; [*023E.0020.0004.0028] [.081D.0020.0004.0070] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER P; COMPATSEQ
24AC ; [*023E.0020.0004.0028] [.0829.0020.0004.0071] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER Q; COMPATSEQ
24AD ; [*023E.0020.0004.0028] [.0835.0020.0004.0072] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER R; COMPATSEQ
24AE ; [*023E.0020.0004.0028] [.085D.0020.0004.0073] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER S; COMPATSEQ
24AF ; [*023E.0020.0004.0028] [.0875.0020.0004.0074] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER T; COMPATSEQ
24B0 ; [*023E.0020.0004.0028] [.088D.0020.0004.0075] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER U; COMPATSEQ
24B1 ; [*023E.0020.0004.0028] [.08A5.0020.0004.0076] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER V; COMPATSEQ
24B2 ; [*023E.0020.0004.0028] [.08B1.0020.0004.0077] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER W; COMPATSEQ
24B3 ; [*023E.0020.0004.0028] [.08B9.0020.0004.0078] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER X; COMPATSEQ
24B4 ; [*023E.0020.0004.0028] [.08BD.0020.0004.0079] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER Y; COMPATSEQ
24B5 ; [*023E.0020.0004.0028] [.08C9.0020.0004.007A] [*023F.0020.0004.0029] % PARENTHESIZED LATIN SMALL LETTER Z; COMPATSEQ
3200 ; [*023E.0020.0004.0028] [.0EB6.0020.0004.1100] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL KIYEOK; COMPATSEQ
320E ; [*023E.0020.0004.0028] [.0EB6.0020.0004.1100] [.0F12.0020.0004.1161] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL KIYEOK A; COMPATSEQ
3201 ; [*023E.0020.0004.0028] [.0EB8.0020.0004.1102] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL NIEUN; COMPATSEQ
320F ; [*023E.0020.0004.0028] [.0EB8.0020.0004.1102] [.0F12.0020.0004.1161] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL NIEUN A; COMPATSEQ
3202 ; [*023E.0020.0004.0028] [.0EB9.0020.0004.1103] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL TIKEUT; COMPATSEQ
3210 ; [*023E.0020.0004.0028] [.0EB9.0020.0004.1103] [.0F12.0020.0004.1161] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL TIKEUT A; COMPATSEQ
3203 ; [*023E.0020.0004.0028] [.0EBB.0020.0004.1105] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL RIEUL; COMPATSEQ
3211 ; [*023E.0020.0004.0028] [.0EBB.0020.0004.1105] [.0F12.0020.0004.1161] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL RIEUL A; COMPATSEQ
3204 ; [*023E.0020.0004.0028] [.0EBC.0020.0004.1106] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL MIEUM; COMPATSEQ
3212 ; [*023E.0020.0004.0028] [.0EBC.0020.0004.1106] [.0F12.0020.0004.1161] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL MIEUM A; COMPATSEQ
3205 ; [*023E.0020.0004.0028] [.0EBD.0020.0004.1107] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL PIEUP; COMPATSEQ
3213 ; [*023E.0020.0004.0028] [.0EBD.0020.0004.1107] [.0F12.0020.0004.1161] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL PIEUP A; COMPATSEQ
3206 ; [*023E.0020.0004.0028] [.0EBF.0020.0004.1109] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL SIOS; COMPATSEQ
3214 ; [*023E.0020.0004.0028] [.0EBF.0020.0004.1109] [.0F12.0020.0004.1161] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL SIOS A; COMPATSEQ
3207 ; [*023E.0020.0004.0028] [.0EC1.0020.0004.110B] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL IEUNG; COMPATSEQ
3215 ; [*023E.0020.0004.0028] [.0EC1.0020.0004.110B] [.0F12.0020.0004.1161] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL IEUNG A; COMPATSEQ
3208 ; [*023E.0020.0004.0028] [.0EC2.0020.0004.110C] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL CIEUC; COMPATSEQ
3216 ; [*023E.0020.0004.0028] [.0EC2.0020.0004.110C] [.0F12.0020.0004.1161] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL CIEUC A; COMPATSEQ
321C ; [*023E.0020.0004.0028] [.0EC2.0020.0004.110C] [.0F1F.0020.0004.116E] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL CIEUC U; COMPATSEQ
3209 ; [*023E.0020.0004.0028] [.0EC4.0020.0004.110E] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL CHIEUCH; COMPATSEQ
3217 ; [*023E.0020.0004.0028] [.0EC4.0020.0004.110E] [.0F12.0020.0004.1161] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL CHIEUCH A; COMPATSEQ
320A ; [*023E.0020.0004.0028] [.0EC5.0020.0004.110F] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL KHIEUKH; COMPATSEQ
3218 ; [*023E.0020.0004.0028] [.0EC5.0020.0004.110F] [.0F12.0020.0004.1161] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL KHIEUKH A; COMPATSEQ
320B ; [*023E.0020.0004.0028] [.0EC6.0020.0004.1110] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL THIEUTH; COMPATSEQ
3219 ; [*023E.0020.0004.0028] [.0EC6.0020.0004.1110] [.0F12.0020.0004.1161] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL THIEUTH A; COMPATSEQ
320C ; [*023E.0020.0004.0028] [.0EC7.0020.0004.1111] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL PHIEUPH; COMPATSEQ
321A ; [*023E.0020.0004.0028] [.0EC7.0020.0004.1111] [.0F12.0020.0004.1161] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL PHIEUPH A; COMPATSEQ
320D ; [*023E.0020.0004.0028] [.0EC8.0020.0004.1112] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL HIEUH; COMPATSEQ
321B ; [*023E.0020.0004.0028] [.0EC8.0020.0004.1112] [.0F12.0020.0004.1161] [*023F.0020.0004.0029] % PARENTHESIZED HANGUL HIEUH A; COMPATSEQ
3220 ; [*023E.0020.0004.0028] [.4E00.0020.0004.4E00] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH ONE; COMPATSEQ
3226 ; [*023E.0020.0004.0028] [.4E03.0020.0004.4E03] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH SEVEN; COMPATSEQ
3222 ; [*023E.0020.0004.0028] [.4E09.0020.0004.4E09] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH THREE; COMPATSEQ
3228 ; [*023E.0020.0004.0028] [.4E5D.0020.0004.4E5D] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH NINE; COMPATSEQ
3221 ; [*023E.0020.0004.0028] [.4E8C.0020.0004.4E8C] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH TWO; COMPATSEQ
3224 ; [*023E.0020.0004.0028] [.4E94.0020.0004.4E94] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH FIVE; COMPATSEQ
3239 ; [*023E.0020.0004.0028] [.4EE3.0020.0004.4EE3] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH REPRESENT; COMPATSEQ
323D ; [*023E.0020.0004.0028] [.4F01.0020.0004.4F01] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH ENTERPRISE; COMPATSEQ
3241 ; [*023E.0020.0004.0028] [.4F11.0020.0004.4F11] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH REST; COMPATSEQ
3227 ; [*023E.0020.0004.0028] [.516B.0020.0004.516B] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH EIGHT; COMPATSEQ
3225 ; [*023E.0020.0004.0028] [.516D.0020.0004.516D] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH SIX; COMPATSEQ
3238 ; [*023E.0020.0004.0028] [.52B4.0020.0004.52B4] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH LABOR; COMPATSEQ
3229 ; [*023E.0020.0004.0028] [.5341.0020.0004.5341] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH TEN; COMPATSEQ
323F ; [*023E.0020.0004.0028] [.5354.0020.0004.5354] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH ALLIANCE; COMPATSEQ
3234 ; [*023E.0020.0004.0028] [.540D.0020.0004.540D] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH NAME; COMPATSEQ
323A ; [*023E.0020.0004.0028] [.547C.0020.0004.547C] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH CALL; COMPATSEQ
3223 ; [*023E.0020.0004.0028] [.56DB.0020.0004.56DB] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH FOUR; COMPATSEQ
322F ; [*023E.0020.0004.0028] [.571F.0020.0004.571F] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH EARTH; COMPATSEQ
323B ; [*023E.0020.0004.0028] [.5B66.0020.0004.5B66] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH STUDY; COMPATSEQ
3230 ; [*023E.0020.0004.0028] [.65E5.0020.0004.65E5] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH SUN; COMPATSEQ
322A ; [*023E.0020.0004.0028] [.6708.0020.0004.6708] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH MOON; COMPATSEQ
3232 ; [*023E.0020.0004.0028] [.6709.0020.0004.6709] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH HAVE; COMPATSEQ
322D ; [*023E.0020.0004.0028] [.6728.0020.0004.6728] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH WOOD; COMPATSEQ
3231 ; [*023E.0020.0004.0028] [.682A.0020.0004.682A] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH STOCK; COMPATSEQ
322C ; [*023E.0020.0004.0028] [.6C34.0020.0004.6C34] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH WATER; COMPATSEQ
322B ; [*023E.0020.0004.0028] [.706B.0020.0004.706B] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH FIRE; COMPATSEQ
3235 ; [*023E.0020.0004.0028] [.7279.0020.0004.7279] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH SPECIAL; COMPATSEQ
323C ; [*023E.0020.0004.0028] [.76E3.0020.0004.76E3] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH SUPERVISE; COMPATSEQ
3233 ; [*023E.0020.0004.0028] [.793E.0020.0004.793E] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH SOCIETY; COMPATSEQ
3237 ; [*023E.0020.0004.0028] [.795D.0020.0004.795D] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH CONGRATULATION; COMPATSEQ
3240 ; [*023E.0020.0004.0028] [.796D.0020.0004.796D] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH FESTIVAL; COMPATSEQ
3242 ; [*023E.0020.0004.0028] [.81EA.0020.0004.81EA] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH SELF; COMPATSEQ
3243 ; [*023E.0020.0004.0028] [.81F3.0020.0004.81F3] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH REACH; COMPATSEQ
3236 ; [*023E.0020.0004.0028] [.8CA1.0020.0004.8CA1] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH FINANCIAL; COMPATSEQ
323E ; [*023E.0020.0004.0028] [.8CC7.0020.0004.8CC7] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH RESOURCE; COMPATSEQ
322E ; [*023E.0020.0004.0028] [.91D1.0020.0004.91D1] [*023F.0020.0004.0029] % PARENTHESIZED IDEOGRAPH METAL; COMPATSEQ
2033 ; [*0274.0020.0004.2032] [*0274.0020.0004.2032] % DOUBLE PRIME; COMPATSEQ
2034 ; [*0274.0020.0004.2032] [*0274.0020.0004.2032] [*0274.0020.0004.2032] % TRIPLE PRIME; COMPATSEQ
2036 ; [*0275.0020.0004.2035] [*0275.0020.0004.2035] % REVERSED DOUBLE PRIME; COMPATSEQ
2037 ; [*0275.0020.0004.2035] [*0275.0020.0004.2035] [*0275.0020.0004.2035] % REVERSED TRIPLE PRIME; COMPATSEQ
2103 ; [*02D6.0020.0004.00B0] [.06F7.0020.000A.0043] % DEGREE CELSIUS; COMPATSEQ
2109 ; [*02D6.0020.0004.00B0] [.074B.0020.000A.0046] % DEGREE FAHRENHEIT; COMPATSEQ
222C ; [*038C.0020.0004.222B] [*038C.0020.0004.222B] % DOUBLE INTEGRAL; COMPATSEQ
222D ; [*038C.0020.0004.222B] [*038C.0020.0004.222B] [*038C.0020.0004.222B] % TRIPLE INTEGRAL; COMPATSEQ
222F ; [*038D.0020.0004.222E] [*038D.0020.0004.222E] % SURFACE INTEGRAL; COMPATSEQ
2230 ; [*038D.0020.0004.222E] [*038D.0020.0004.222E] [*038D.0020.0004.222E] % VOLUME INTEGRAL; COMPATSEQ
3358 ; [.06C5.0020.0004.0030] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ZERO; COMPATSEQ
2488 ; [.06C6.0020.0004.0031] [*0226.0020.0004.002E] % DIGIT ONE FULL STOP; COMPATSEQ
2491 ; [.06C6.0020.0004.0031] [.06C5.0020.0004.0030] [*0226.0020.0004.002E] % NUMBER TEN FULL STOP; COMPATSEQ
33E9 ; [.06C6.0020.0004.0031] [.06C5.0020.0004.0030] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TEN; COMPATSEQ
32C9 ; [.06C6.0020.0004.0031] [.06C5.0020.0004.0030] [.6708.0020.0004.6708] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR OCTOBER; COMPATSEQ
3362 ; [.06C6.0020.0004.0031] [.06C5.0020.0004.0030] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TEN; COMPATSEQ
2492 ; [.06C6.0020.0004.0031] [.06C6.0020.0004.0031] [*0226.0020.0004.002E] % NUMBER ELEVEN FULL STOP; COMPATSEQ
33EA ; [.06C6.0020.0004.0031] [.06C6.0020.0004.0031] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY ELEVEN; COMPATSEQ
32CA ; [.06C6.0020.0004.0031] [.06C6.0020.0004.0031] [.6708.0020.0004.6708] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR NOVEMBER; COMPATSEQ
3363 ; [.06C6.0020.0004.0031] [.06C6.0020.0004.0031] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ELEVEN; COMPATSEQ
2493 ; [.06C6.0020.0004.0031] [.06C7.0020.0004.0032] [*0226.0020.0004.002E] % NUMBER TWELVE FULL STOP; COMPATSEQ
33EB ; [.06C6.0020.0004.0031] [.06C7.0020.0004.0032] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWELVE; COMPATSEQ
32CB ; [.06C6.0020.0004.0031] [.06C7.0020.0004.0032] [.6708.0020.0004.6708] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DECEMBER; COMPATSEQ
3364 ; [.06C6.0020.0004.0031] [.06C7.0020.0004.0032] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWELVE; COMPATSEQ
2494 ; [.06C6.0020.0004.0031] [.06C8.0020.0004.0033] [*0226.0020.0004.002E] % NUMBER THIRTEEN FULL STOP; COMPATSEQ
33EC ; [.06C6.0020.0004.0031] [.06C8.0020.0004.0033] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTEEN; COMPATSEQ
3365 ; [.06C6.0020.0004.0031] [.06C8.0020.0004.0033] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR THIRTEEN; COMPATSEQ
2495 ; [.06C6.0020.0004.0031] [.06C9.0020.0004.0034] [*0226.0020.0004.002E] % NUMBER FOURTEEN FULL STOP; COMPATSEQ
33ED ; [.06C6.0020.0004.0031] [.06C9.0020.0004.0034] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOURTEEN; COMPATSEQ
3366 ; [.06C6.0020.0004.0031] [.06C9.0020.0004.0034] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FOURTEEN; COMPATSEQ
2496 ; [.06C6.0020.0004.0031] [.06CA.0020.0004.0035] [*0226.0020.0004.002E] % NUMBER FIFTEEN FULL STOP; COMPATSEQ
33EE ; [.06C6.0020.0004.0031] [.06CA.0020.0004.0035] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIFTEEN; COMPATSEQ
3367 ; [.06C6.0020.0004.0031] [.06CA.0020.0004.0035] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIFTEEN; COMPATSEQ
2497 ; [.06C6.0020.0004.0031] [.06CB.0020.0004.0036] [*0226.0020.0004.002E] % NUMBER SIXTEEN FULL STOP; COMPATSEQ
33EF ; [.06C6.0020.0004.0031] [.06CB.0020.0004.0036] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIXTEEN; COMPATSEQ
3368 ; [.06C6.0020.0004.0031] [.06CB.0020.0004.0036] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIXTEEN; COMPATSEQ
2498 ; [.06C6.0020.0004.0031] [.06CC.0020.0004.0037] [*0226.0020.0004.002E] % NUMBER SEVENTEEN FULL STOP; COMPATSEQ
33F0 ; [.06C6.0020.0004.0031] [.06CC.0020.0004.0037] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVENTEEN; COMPATSEQ
3369 ; [.06C6.0020.0004.0031] [.06CC.0020.0004.0037] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SEVENTEEN; COMPATSEQ
2499 ; [.06C6.0020.0004.0031] [.06CD.0020.0004.0038] [*0226.0020.0004.002E] % NUMBER EIGHTEEN FULL STOP; COMPATSEQ
33F1 ; [.06C6.0020.0004.0031] [.06CD.0020.0004.0038] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY EIGHTEEN; COMPATSEQ
336A ; [.06C6.0020.0004.0031] [.06CD.0020.0004.0038] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR EIGHTEEN; COMPATSEQ
249A ; [.06C6.0020.0004.0031] [.06CE.0020.0004.0039] [*0226.0020.0004.002E] % NUMBER NINETEEN FULL STOP; COMPATSEQ
33F2 ; [.06C6.0020.0004.0031] [.06CE.0020.0004.0039] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY NINETEEN; COMPATSEQ
336B ; [.06C6.0020.0004.0031] [.06CE.0020.0004.0039] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR NINETEEN; COMPATSEQ
33E0 ; [.06C6.0020.0004.0031] [.65E5.0020.0004.65E5] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY ONE; COMPATSEQ
32C0 ; [.06C6.0020.0004.0031] [.6708.0020.0004.6708] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR JANUARY; COMPATSEQ
3359 ; [.06C6.0020.0004.0031] [.70B9.0020.0004.70B9] % IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ONE; COMPATSEQ
2469 ; [.06C6.0020.0006.0031] [.06C5.0020.0006.0030] % CIRCLED NUMBER TEN; COMPATSEQ
